sim_id,SiSiSi_epsilon,SiSiSi_sigma,SiSiSi_a,SiSiSi_lambda,SiSiSi_gamma,SiSiSi_costheta0,SiSiSi_A,SiSiSi_B,SiSiSi_p,SiSiSi_q,SiSiSi_tol,Si_dia.a0,Si_dia.c11,Si_dia.c12,Si_dia.c44,Si_dia.B,Si_dia.vac,Si_dia.a0.err,Si_dia.c11.err,Si_dia.c12.err,Si_dia.c44.err,Si_dia.B.err,Si_dia.vac.err
sim_id,param,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err
87.0,2.12780223134,1.44776685458,1.65172999306,30.2852844971,1.8533001453,-0.3333333333333333,10.43831452,0.863239573844,4.10192102184,0.346281506046,0.0,5.42999899855033,-2.46209811769515e-08,-2.46947919980241e-08,-2.46209811760976e-08,-2.46701883909999e-08,1.4025434898780213e-12,-1.0014496698573794e-06,-166.000000024621,-64.0000000246948,-80.00000002462099,-99.00000002467019,-3.5999999999985977
176.0,2.15505224536,2.0566377642,1.78698228332,30.7179149567,1.74900616945,-0.3333333333333333,18.4625276036,0.567721265427,3.04926681651,0.758884557567,0.0,5.37686122922968,156.486568049877,54.3013692513342,82.902406022406,88.3631021841818,4513.525198815237,-0.05313877077032014,-9.513431950122992,-9.6986307486658,2.902406022405998,-10.636897815818202,4509.925198815236
293.0,2.15270559572,1.82193828853,1.88584438011,21.8217708743,1.78971561553,-0.3333333333333333,10.7573211261,0.822716498711,4.00697930008,0.448716248488,0.0,4.99395237970528,130.329255448305,63.7877363507869,57.262134217926,85.96824271662626,1219.0074407172958,-0.4360476202947199,-35.67074455169501,-0.21226364921309937,-22.737865782074003,-13.031757283373736,1215.407440717296
351.0,2.14145290451,1.48478045616,1.61078692494,29.7842992685,1.0403213011,-0.3333333333333333,17.2024540963,0.599606939977,3.97994403167,0.930780493994,0.0,5.42999930294793,-1.7300421750951e-08,-1.73518000818006e-08,-1.73004217512606e-08,-1.73346739715174e-08,9.679983955699177e-13,-6.970520693982962e-07,-166.0000000173004,-64.0000000173518,-80.00000001730042,-99.00000001733467,-3.599999999999032
562.0,2.19508203048,1.55770650449,1.53597914964,26.345557288,1.15729553078,-0.3333333333333333,17.0237851598,0.87236063268,4.22701192824,0.304305334374,0.0,5.43,-9.13979813724999e-09,-9.16686254330067e-09,-9.13979813645998e-09,-9.15784107461711e-09,5.089884829993887e-13,0.0,-166.0000000091398,-64.00000000916687,-80.0000000091398,-99.00000000915784,-3.599999999999491
617.0,2.17749177168,2.0643656558,1.53920796431,21.483681812,1.22232421394,-0.3333333333333333,19.5975994818,0.803355187257,3.41441278737,0.895373336128,0.0,5.06720425432546,142.712271100026,77.0805945503525,57.4290796194793,98.95782006691032,662.1835689624237,-0.3627957456745401,-23.287728899974013,13.080594550352501,-22.570920380520697,-0.042179933089684596,658.5835689624237
655.0,2.10666227617,2.02978447439,1.58137379049,28.4174046647,1.93272553979,-0.3333333333333333,18.4320801057,0.756993009896,3.88807764889,0.579010484058,0.0,5.04797752853682,165.845566251664,91.8894699017983,65.670040645813,116.54150201842019,898.1454980807684,-0.3820224714631797,-0.15443374833600387,27.889469901798293,-14.329959354186997,17.54150201842019,894.5454980807684
679.0,2.13692181989,1.38436596144,1.72285954493,25.7285217898,1.72714955441,-0.3333333333333333,14.2123892803,0.503729617066,4.12264958101,0.836003098495,0.0,5.43,-4.02145657679993e-10,-4.03036977759494e-10,-4.02145657645041e-10,-4.0273987106632704e-10,1.2606667649806424e-14,0.0,-166.00000000040214,-64.00000000040303,-80.00000000040214,-99.00000000040274,-3.5999999999999877
711.0,2.16182881898,2.09866504798,1.58944955331,22.261966069,1.18442317846,-0.3333333333333333,11.0636245148,0.881838659088,4.34250151994,0.8042777937,0.0,5.37225431377451,165.503963276001,144.555501521018,19.7537481349043,151.53832210601232,458.65709794820344,-0.05774568622548948,-0.4960367239989978,80.55550152101799,-60.2462518650957,52.538322106012316,455.0570979482034
828.0,2.14666481261,1.24160612256,1.92515460627,25.7517378259,1.72177530292,-0.3333333333333333,13.096092834,0.918892863518,3.19570934208,0.112654564689,0.0,5.42990207722474,-2.12513407884515e-06,-2.13224165732492e-06,-2.12513407880361e-06,-2.12987246449833e-06,1.545401113124268e-10,-9.792277525999538e-05,-166.00000212513407,-64.00000213224166,-80.00000212513407,-99.00000212987247,-3.59999999984546
930.0,2.18487399984,1.46050714155,1.64101534527,28.4760656279,1.94569299034,-0.3333333333333333,16.1560976302,0.501210256422,3.32770585346,0.057064104703,0.0,5.42991683648241,-1.57193676437503e-06,-1.57799769234998e-06,-1.57193676448389e-06,-1.5759773830249966e-06,1.5064832350380284e-10,-8.316351758974605e-05,-166.00000157193676,-64.0000015779977,-80.00000157193676,-99.00000157597738,-3.5999999998493517
991.0,2.1531972589,1.78822567516,1.87735549587,30.1641276232,1.29147272632,-0.3333333333333333,11.5147455773,0.974706498695,3.88146379402,0.25583340977,0.0,5.06501901973738,179.457268601982,80.1265481975861,80.3359341086965,113.23678833238473,1164.8146594927825,-0.3649809802626196,13.457268601982008,16.126548197586104,0.335934108696506,14.236788332384734,1161.2146594927826
1116.0,2.14387588959,2.44565063528,1.81155132802,26.8822078137,1.91320109905,-0.3333333333333333,6.50872392383,0.666307294891,4.30326552698,0.672138847604,0.0,5.40143671472708,-58.4239593099471,63.4444129432984,-189.426208762018,22.82162219221657,613.8116414752674,-0.02856328527292007,-224.4239593099471,-0.5555870567015972,-269.426208762018,-76.17837780778343,610.2116414752674
1402.0,2.16931804221,1.56833588906,1.53387649412,26.6520269403,1.51671097972,-0.3333333333333333,10.4079119826,0.818071090913,4.20398015478,0.291682276477,0.0,5.42900492955665,-1.28080004025495e-05,-1.28743707810989e-05,-1.28080451122554e-05,-1.2852247321582434e-05,2.6797910083245586e-09,-0.000995070443349455,-166.0000128080004,-64.00001287437078,-80.00001280804511,-99.00001285224732,-3.599999997320209
1418.0,2.14157397293,1.47075942453,1.62720593724,26.8926786688,1.84789161459,-0.3333333333333333,8.11199943505,0.876189016747,3.48996586111,0.521944379169,0.0,5.42999817405517,-4.14653369701538e-08,-4.15999010049774e-08,-4.14653369679286e-08,-4.155504632670287e-08,2.7633232892062675e-12,-1.825944830002868e-06,-166.00000004146534,-64.0000000415999,-80.00000004146534,-99.00000004155504,-3.599999999997237
1602.0,2.1323305553,2.25145489059,1.71242194728,27.2897981055,1.79534246939,-0.3333333333333333,6.65178214029,0.60280144249,3.7610496728,0.901960232318,0.0,5.43273831675565,84.9876241621805,69.7271643554045,13.9919855223754,74.81398429099649,613.7706279179761,0.002738316755650061,-81.0123758378195,5.727164355404497,-66.0080144776246,-24.186015709003513,610.170627917976
1707.0,2.19278108383,2.21822227628,1.57141894677,28.0904353161,1.22653889424,-0.3333333333333333,11.985006262,0.825653362191,3.96679497228,0.906105846495,0.0,5.56020494028935,166.116885839801,152.68234110481,12.6873169518705,157.16052268314033,479.25121328724254,0.13020494028935037,0.1168858398010002,88.68234110481,-67.3126830481295,58.16052268314033,475.6512132872425
2011.0,2.19141888564,2.2271541946,1.79425909972,21.1303550647,1.13818716854,-0.3333333333333333,9.17125727886,0.522133043095,3.12496145208,0.99538740496,0.0,5.21272766710767,159.82641724986,2.75599384913221,80.2517482062996,55.1128016493748,1162.7930677155757,-0.21727233289233006,-6.173582750140014,-61.24400615086779,0.25174820629959527,-43.8871983506252,1159.1930677155758
2166.0,2.14305576315,1.89381618694,1.77313443067,22.9913340439,1.69761169812,-0.3333333333333333,12.4225220918,0.999725623403,3.36370329479,0.966507137014,0.0,5.22162086333207,116.496570750315,90.3719145750074,24.4237682107486,99.08013330010994,594.3061130572615,-0.2083791366679293,-49.503429249685,26.371914575007395,-55.576231789251395,0.08013330010993513,590.7061130572615
2290.0,2.10861761475,2.06722678297,1.89002583564,29.7163538323,1.19696374209,-0.3333333333333333,9.11414555918,0.688816952316,4.16673685336,0.793141352045,0.0,5.41173925633612,215.687613006809,63.5211192750168,95.5831909350882,114.24328385228087,1094.5968054782684,-0.01826074366387953,49.68761300680899,-0.478880724983199,15.583190935088197,15.243283852280868,1090.9968054782685
